进水氨氮,出水氨氮,进水总氮,出水总氮,进水流量,出水流量,进水COD,出水COD,进水水温,出水水温,好氧池氨氮,好氧池硝氮,好氧池-MLSS,好氧池进水DO,好氧池出水DO
28.6269,41.1326,1092.0204,185.9,22.1601,0.192,9.5473,6641.6484,0.504,3.0601,0.6298,7.284,6918.812,0.3764,2.9337
28.6269,41.1326,1172.4089,185.9,22.1603,0.2058,9.5591,6395.8911,0.5346,3.2509,0.8143,5.7039,6921.5601,0.4015,3.0322
28.6269,41.1326,1139.5245,185.9,22.1747,0.1979,9.4845,6609.0645,0.5303,3.2419,0.6886,7.1093,6905.0718,0.6422,3.0201
28.6269,41.1326,1103.5759,185.9,22.1904,0.2038,9.6238,6563.5244,0.654,3.2368,0.6965,6.4949,6921.1675,0.5154,2.8603
28.6269,41.1326,973.0906,185.9,22.1916,0.2058,9.4236,6563.5244,0.6151,3.3561,0.7888,5.5351,6873.665,0.5798,2.7268
28.6269,41.1326,1078.5004,185.9,22.1832,0.196,9.245,6532.1182,0.4322,3.2713,0.618,7.3449,6928.6265,0.3862,2.6295
28.6269,41.1326,1059.1205,185.9,22.1726,0.2038,9.247,6517.5923,0.4887,3.2195,0.7044,6.2574,6893.6865,0.4824,2.4814
28.6269,41.1326,1588.2555,185.9,22.1627,0.196,9.2097,6474.0156,0.4671,3.1115,0.669,7.1427,6866.5986,0.3949,2.3083
27.0691,41.1326,1329.6562,185.9,22.1708,0.1999,9.141,6606.3164,0.4494,3.0817,0.5807,8.5462,6862.6724,0.4616,2.3126
27.0691,41.1326,1185.0343,185.9,22.1633,0.192,8.9996,6581.9756,0.5448,2.9608,0.5591,9.6395,6879.5537,0.4169,2.4626
27.0691,41.1326,1281.5149,185.9,22.1415,0.1999,8.9368,6514.8442,0.6807,2.8426,0.6101,8.5089,6862.2803,0.4267,2.2286
27.0691,41.1326,1156.2063,185.9,22.1179,0.1901,8.8289,6536.4365,0.5181,2.666,0.6023,8.6502,6851.6807,0.5637,2.1203
27.0691,41.1326,1195.9821,185.9,22.0947,0.1999,8.7346,6516.4141,0.3737,2.6487,0.5964,9.1311,6804.1777,0.4714,2.0508
27.0691,41.1326,1270.6208,185.9,22.0759,0.2018,8.6659,6500.7114,0.5028,2.4065,0.6042,9.3333,6853.251,0.4322,1.8623
27.0691,41.1326,1283.9009,185.9,22.0847,0.2018,8.6286,6562.3467,0.4691,2.472,0.6592,8.238,6870.5244,0.4451,1.7202
27.0691,41.1326,1210.7257,189.6,22.1023,0.2018,8.6326,6560.7764,0.396,2.3696,0.5512,10.1538,6862.6724,0.3953,1.4474
27.0691,40.1226,1143.0669,189.6,22.1041,0.192,8.452,6477.9414,0.4836,2.1972,0.51,11.2197,6814.3853,0.557,1.5118
27.0691,37.766,1120.7148,189.6,22.0962,0.196,8.3558,6600.4272,0.389,1.9295,0.4963,11.9656,6870.917,0.5166,1.531
27.0691,37.766,1219.4747,189.6,22.0872,0.1901,8.3519,6547.0361,0.5075,1.8886,0.5022,12.4818,6837.5474,0.3811,1.2605
27.0691,37.766,1240.8845,189.6,22.091,0.192,8.3499,6598.8569,0.4561,1.8388,0.5218,12.5505,6821.0591,0.4651,1.0073
27.0691,37.766,1144.8636,189.6,22.1182,0.192,8.4186,6504.6372,0.3886,1.7991,0.457,13.0275,6854.0356,0.5492,1.1447
27.0691,37.766,367.6878,189.6,22.1393,0.194,8.5226,6534.4741,0.4066,1.6672,0.512,13.4397,6870.917,0.4239,0.7635
27.0691,37.766,1044.2115,189.6,22.2121,0.196,8.3185,6618.0938,0.5036,1.7355,0.565,8.4775,6925.0938,0.5009,1.1019
27.0691,37.766,1002.2715,189.6,22.2814,0.192,8.3852,6433.187,0.4793,1.597,0.4924,9.5061,6912.1387,0.4094,0.9724
27.0691,37.766,1167.3418,189.6,22.2429,0.1999,8.4618,6437.8984,0.506,1.6598,0.5041,10.4326,6901.5386,0.3584,0.8648
27.0691,37.766,1098.4683,189.6,22.2191,0.196,8.2871,6589.0425,0.3819,1.7995,0.4825,11.1529,6911.353,0.5872,0.8723
27.0691,37.766,1115.9014,189.6,22.2246,0.1999,8.4245,6390.7881,0.3697,1.6197,0.4924,11.624,6960.8184,0.398,0.8063
27.0691,37.766,969.6663,189.6,22.2241,0.196,8.4579,6397.4619,0.5998,1.7473,0.4492,12.0402,6955.7148,0.4369,0.6889
27.0691,37.766,1042.7549,189.6,22.2107,0.2038,8.4618,6551.3545,0.4828,1.7744,0.5198,11.4552,6977.3066,0.4165,0.7604
27.0691,37.766,1059.1156,189.6,22.1891,0.2038,8.3597,6566.665,0.4031,2.0139,0.4924,10.0203,6975.7368,0.3807,0.6528
27.0691,37.766,1105.6991,189.6,22.1723,0.2038,8.4971,6476.7637,0.3886,1.6221,0.4629,9.3706,6987.9067,0.5311,0.8012
27.0691,37.766,1124.6483,189.6,22.1799,0.1999,8.4932,6602.7832,0.4455,1.8741,0.4943,7.5569,7016.958,0.5354,0.9095
27.0691,37.766,1105.2145,189.6,22.1903,0.2018,8.5658,6548.999,0.4341,2.0614,0.6612,5.91,6931.7671,0.4298,0.9547
27.0691,37.766,1091.925,189.6,22.1833,0.192,8.6227,6400.6025,0.5331,1.9554,0.7652,5.0522,7030.6982,0.5437,1.1192
27.0691,37.766,1080.7633,189.6,22.1675,0.1979,8.558,6587.4722,0.486,2.0013,0.8162,4.5418,6991.4399,0.5103,1.3547
27.0691,37.766,1094.4122,189.6,22.1491,0.1999,8.6267,6587.0796,0.5303,1.946,0.6906,5.6705,6996.936,0.3898,1.438
27.0691,37.766,1135.8397,189.6,22.1408,0.2077,8.7621,6557.2427,0.5252,1.8364,0.7456,5.0581,6969.8477,0.5072,1.5051
27.0691,37.766,1160.79,189.6,22.1567,0.1999,8.7346,6578.4429,0.3929,1.9526,0.6945,5.6745,7007.9287,0.5358,1.6523
27.3014,37.766,1090.4365,189.6,22.1711,0.2038,8.77,6554.4951,0.4169,1.9903,0.7436,5.3957,6956.8926,0.4224,1.6959
27.3014,37.766,1016.035,189.6,22.1677,0.192,8.7641,6565.0947,0.6265,1.8824,0.7652,4.9227,7004.395,0.4196,1.6825
27.3014,37.766,1115.4539,189.6,22.1538,0.1979,8.6993,6622.0195,0.4687,2.0264,0.7397,4.956,6946.293,0.4651,1.774
27.3014,37.766,1144.0603,189.6,22.1445,0.2058,8.7405,6523.4814,0.4545,2.0692,0.5905,6.9366,6945.9004,0.387,1.6582
27.3014,37.766,1062.5697,189.6,22.1554,0.2058,8.7739,6565.8804,0.5444,2.1678,0.7063,5.7039,6901.146,0.4848,1.6751
27.3014,37.766,1018.2665,189.6,22.1617,0.192,8.6581,6489.7192,0.4455,2.1085,0.6965,5.9826,6836.3696,0.418,1.5899
27.3014,37.766,1102.2201,189.6,22.1539,0.1979,8.7641,6595.7163,0.482,2.0885,0.6886,6.1554,6843.8286,0.354,1.5381
27.3014,37.766,1091.27,232.5,22.1452,0.2018,8.9741,6545.4658,0.5178,2.1481,0.6062,6.9425,6856.7842,0.3694,1.571
27.3014,38.261,1103.5365,232.5,22.1442,0.2018,8.8053,6599.249,0.4671,2.2267,0.6553,6.6284,6857.9619,0.449,1.6276
27.3014,39.251,1082.1564,232.5,22.1436,0.194,8.8642,6556.458,0.4082,2.2483,0.5748,7.8945,6836.3696,0.4365,1.648
27.3014,39.251,1099.0046,232.5,22.1339,0.2077,9.0134,6571.3765,0.4,2.2059,0.512,8.8249,6838.3325,0.422,1.6979
27.3014,39.251,1143.6125,232.5,22.1255,0.2077,8.9447,6542.7178,0.4416,2.1399,0.5905,7.2487,6840.688,0.4534,1.385
27.3014,39.251,1022.6974,232.5,22.1283,0.192,8.9309,6572.9468,0.6014,2.2483,0.6435,6.2201,6868.1689,0.3501,1.4391
27.3014,39.251,1082.0219,232.5,22.1312,0.1979,8.9349,6539.5771,0.5095,2.1089,0.5709,7.1388,6852.0732,0.3277,1.4501
27.3014,39.251,1071.6998,232.5,22.1257,0.2077,9.0467,6546.251,0.4149,2.2447,0.5512,8.1693,6864.2432,0.5433,1.3375
27.3014,39.251,1087.2124,232.5,22.1192,0.192,8.9682,6384.5068,0.3431,2.0107,0.5257,8.346,6867.7764,0.4773,1.2083
27.3014,39.251,982.8562,232.5,22.1215,0.192,8.9663,6415.1289,0.3697,2.1462,0.5512,9.1311,6918.812,0.5578,1.3147
27.3014,39.251,1112.7177,232.5,22.1211,0.192,9.035,6421.0171,0.4282,2.0135,0.5041,9.8182,6945.9004,0.4526,1.1887
27.3014,39.251,1058.6501,232.5,22.12,0.192,9.137,6436.7207,0.5401,1.9813,0.51,9.8162,6943.9375,0.4738,1.0811
27.3014,39.251,1109.0962,232.5,22.1229,0.2058,9.1468,6465.3789,0.3819,1.9142,0.5179,10.2559,6971.0254,0.407,1.2342
27.3014,39.251,1023.891,232.5,22.1282,0.1999,9.0762,6395.1064,0.38,1.9672,0.5238,10.7702,6951.3965,0.4644,1.0603
27.3014,39.251,1099.5577,232.5,22.1272,0.192,9.137,6456.3496,0.4004,2.1395,0.5179,8.8544,6938.4414,0.4192,1.0097
27.3014,39.251,1112.6348,232.5,22.1207,0.194,9.141,6524.6592,0.3858,2.0999,0.563,8.8544,7004.0024,0.4781,0.9339
27.3014,39.251,1143.7537,232.5,22.1224,0.192,9.1017,6544.2876,0.4655,1.8981,0.5669,9.1959,6964.3516,0.4239,1.0316
27.3014,39.251,1042.9342,232.5,22.1249,0.1979,9.2077,6524.2666,0.4706,2.061,0.5454,9.4707,7000.8618,0.4891,1.0426
27.3014,39.251,1148.7411,232.5,22.1183,0.194,9.141,6518.3774,0.4565,1.8396,0.5532,9.3353,6976.5215,0.4165,1.0407
27.3014,39.251,1069.6565,232.5,22.1153,0.1979,9.3137,6451.2461,0.3906,1.8985,0.4884,10.0243,6980.0552,0.3784,0.8546
27.3014,39.251,1059.3381,232.5,22.1227,0.1979,9.1095,6484.2227,0.4455,1.8035,0.4904,10.7741,6961.604,0.5338,0.8632
27.3014,39.251,1105.3326,232.5,22.1255,0.2018,9.353,6482.6523,0.482,1.8828,0.5611,9.5767,6983.1953,0.5621,0.8526
27.3014,39.251,1316.6908,232.5,22.1202,0.2058,9.2136,6496.0005,0.546,1.7799,0.5964,8.2714,6977.3066,0.5162,0.9186
27.6514,39.251,1293.7037,232.5,22.1077,0.2038,9.2823,6496.7856,0.4526,1.9055,0.5355,8.7857,6983.1953,0.5515,0.8558
27.6514,39.251,1257.0366,232.5,22.0947,0.196,9.2764,6536.0439,0.5374,1.9884,0.5846,8.6522,7024.0239,0.4349,0.9394
27.6514,39.251,1229.5803,232.5,22.0902,0.2058,9.2175,6479.1191,0.5919,2.1364,0.8103,6.6265,6996.936,0.5527,0.9661
27.6514,39.251,1224.1404,232.5,22.08,0.1979,9.3785,6410.0249,0.4856,2.1112,0.6141,6.9759,7003.6104,0.588,1.0411
27.6514,39.251,1188.9836,232.5,22.0731,0.2058,9.3549,6476.7637,0.608,2.0849,0.7338,6.0474,7026.3799,0.5001,1.1086
27.6514,39.251,1335.5242,232.5,22.067,0.192,9.4452,6357.4189,0.5209,2.0712,0.8064,5.1896,6983.5884,0.4439,1.3948
27.6514,39.251,1325.7268,232.5,22.0767,0.1979,9.4177,6435.9351,0.4153,2.1321,0.6749,6.2869,7007.1431,0.3827,1.4415
27.6514,39.251,1275.157,202.4,22.0876,0.194,9.3451,6483.4375,0.3584,2.1179,0.8889,4.7126,7016.1724,0.422,1.4855
27.6514,38.971,1164.8721,202.4,22.0893,0.1979,9.4138,6509.3481,0.5374,2.2895,0.7652,5.1229,7019.3135,0.4259,1.7634
27.6514,37.5709,1151.4199,202.4,22.0847,0.1999,9.3117,6471.6602,0.5649,2.2608,0.6671,6.0808,7003.6104,0.4377,1.8082
27.6514,37.5709,1175.9574,202.4,22.0767,0.194,9.4452,6552.1396,0.5821,2.3205,0.5689,7.6217,6997.7212,0.4251,2.0312
27.6514,37.5709,1197.1323,202.4,22.069,0.2018,9.3844,6507.7773,0.4247,2.3146,0.5964,7.4489,7033.4463,0.5032,2.1442
27.6514,37.5709,394.7288,202.4,22.0643,0.192,9.5119,6366.4482,0.4526,2.3751,0.6435,7.18,7038.5498,0.5433,2.1293
27.6514,37.5709,1077.4265,202.4,22.1063,0.196,9.4118,6434.3647,0.6292,2.5808,0.6258,7.5903,7029.1279,0.4361,2.3782
27.6514,37.5709,1063.1228,202.4,22.1601,0.2018,9.5532,6361.7373,0.6363,2.5278,0.5611,8.8897,7026.3799,0.5315,2.2926
27.6514,37.5709,1010.193,202.4,22.1488,0.2018,9.5178,6443.7871,0.7498,2.5482,0.5964,7.3861,7041.2974,0.4773,2.4685
27.6514,37.5709,1046.3876,202.4,22.1329,0.1979,9.722,6363.7002,0.6693,2.6687,0.6769,6.3615,7082.9116,0.5786,2.6628
27.6514,37.5709,970.3259,202.4,22.1234,0.196,9.7239,6449.6758,1.0167,2.845,0.5787,7.6884,7027.5576,0.3945,2.4571
27.6514,37.5709,970.6247,202.4,22.1149,0.1999,9.6925,6374.2993,1.0214,2.8685,0.565,7.5176,6986.3369,0.4278,2.8038
27.6514,37.5709,963.5144,202.4,22.1089,0.2038,9.7632,6413.9507,1.403,3.108,0.669,6.1868,7046.0088,0.4251,2.8328
27.6514,37.5709,1022.8862,202.4,22.1045,0.2058,9.6611,6337.7891,1.1329,2.9066,0.5179,7.9004,7000.0767,0.4557,2.7841
27.6514,37.5709,1051.2609,202.4,22.0986,0.2077,9.7298,6390.0029,1.3143,3.1021,0.5002,8.6895,6972.5952,0.4746,2.92
27.6514,37.5709,1014.0966,202.4,22.0935,0.1999,9.8594,6318.9453,1.4246,3.1147,0.5454,8.6816,7000.8618,0.3694,2.8882
27.6514,37.5709,1001.567,202.4,22.0884,0.1999,9.7593,6319.7305,1.67,3.077,0.6278,7.4214,6984.7661,0.5433,2.9137
27.6514,37.5709,1037.3842,202.4,22.0829,0.2077,9.8319,6366.4482,1.2495,3.1889,0.5591,9.0251,6967.1001,0.559,3.0012
27.6514,37.5709,1015.3873,202.4,22.0808,0.194,9.7534,6349.5674,1.2393,3.2878,0.5159,9.8829,6919.9897,0.4416,2.9498
27.6514,37.5709,924.2059,202.4,22.0787,0.2077,9.8339,6351.9224,0.8836,3.258,0.4884,10.4954,7012.2471,0.4377,2.9969
27.6514,37.5709,1016.9534,202.4,22.0747,0.192,9.6494,6402.5654,1.3339,3.2101,0.4708,11.0489,6965.9219,0.4742,2.9349
27.6514,37.5709,985.4721,202.4,22.0712,0.192,9.9242,6469.6973,1.0053,3.2442,0.4433,11.5279,6922.3452,0.4836,2.9769
27.6514,37.5709,1111.9773,202.4,22.0693,0.194,9.824,6368.4111,0.981,3.2682,0.4786,12.0048,6900.3604,0.5774,3.0903
26.8662,37.5709,1044.2325,202.4,22.0669,0.2038,9.9673,6424.5503,0.9433,3.3754,0.5532,10.3285,6920.7754,0.3705,3.09
26.8662,37.5709,1050.2462,202.4,22.0658,0.192,9.9909,6476.3711,1.0128,3.2988,0.5571,8.7876,6922.7378,0.4695,3.0507
26.8662,37.5709,1013.3888,202.4,22.0667,0.196,9.826,6408.8472,0.979,3.3789,0.563,9.6749,6884.6572,0.5829,3.1327
26.8662,37.5709,1071.2428,202.4,22.0695,0.2077,9.9026,6472.4453,1.0006,3.4327,0.4963,10.5013,6826.1621,0.5778,3.139
26.8662,37.5709,959.302,202.4,22.0701,0.1999,9.8613,6443.3945,0.9268,3.4048,0.5493,10.0871,6854.4287,0.4808,3.2109
26.8662,37.5709,974.5229,202.4,22.0695,0.2077,9.9359,6435.9351,1.0112,3.3997,0.5709,9.5434,6800.2524,0.5079,3.1166
26.8662,37.5709,1001.6763,202.4,22.0658,0.2077,9.9713,6312.6641,0.981,3.3432,0.4786,10.4659,6795.541,0.4903,3.1987
26.8662,37.5709,1058.0649,156.3,22.0676,0.2058,9.9359,6473.623,0.9771,3.3294,0.4806,9.3353,6809.2812,0.4903,3.1276
26.8662,37.4456,1046.366,156.3,22.0693,0.194,9.9929,6506.9927,0.7419,3.5304,0.4825,9.8515,6775.519,0.453,3.2843
26.8662,36.8188,1109.7708,156.3,22.0733,0.1999,9.9281,6466.9492,0.824,3.393,0.4649,9.8123,6787.6895,0.411,3.0958
26.8662,36.8188,1075.2565,156.3,22.0776,0.2018,10.0341,6540.3623,0.8664,3.3675,0.5277,9.985,6770.8086,0.4781,3.1716
26.8662,36.8188,1105.3339,156.3,22.0821,0.2038,9.9693,6534.0811,0.7588,3.3369,0.4531,10.2225,6843.8286,0.4761,3.1642
26.8662,36.8188,1063.3296,156.3,22.0881,0.2018,9.932,6581.5835,1.0642,3.223,0.4825,10.566,6831.2661,0.5916,3.1037
26.8662,36.8188,1010.006,156.3,22.0926,0.196,9.9261,6497.5708,1.0501,3.2588,0.51,10.091,6775.9121,0.5817,3.0935
26.8662,36.8188,1034.8851,156.3,22.0976,0.2018,9.932,6598.8569,0.8573,3.32,0.6023,9.0585,6810.0669,0.4938,3.0424
26.8662,36.8188,1157.0833,156.3,22.105,0.2038,10.1028,6647.5371,0.5472,3.2478,0.5748,9.9202,6815.1699,0.7902,3.0322
26.8662,36.8188,1122.2616,156.3,22.1172,0.192,9.9575,6695.04,0.8134,3.1932,0.6219,9.5728,6767.2754,0.6226,2.8277
26.8662,36.8188,1086.2593,156.3,22.1358,0.2018,9.932,6695.04,0.8899,3.1806,0.565,10.568,6815.562,0.6732,3.0213
26.8662,36.8188,1073.5853,156.3,22.1437,0.1979,9.9987,6651.8555,0.791,3.2073,0.6356,8.1379,6781.0156,0.4801,2.8308
26.8662,36.8188,1050.9154,156.3,22.1421,0.194,10.0949,6654.604,1.0371,3.3377,0.5611,9.7789,6759.0308,0.3921,2.8917
26.8662,36.8188,1013.1997,156.3,22.1337,0.2018,10.2029,6487.3638,1.0403,3.1799,0.5002,9.7082,6764.9189,0.4612,2.878
26.8662,36.8188,1008.8612,156.3,22.1253,0.2018,10.0321,6616.1309,0.9284,3.2038,0.5198,10.3246,6798.2891,0.7258,2.7998
26.8662,36.8188,1044.9976,156.3,22.1183,0.2038,10.0733,6554.4951,0.9861,3.1269,0.4924,10.9782,6731.5503,0.4534,2.8787
26.8662,36.8188,1101.271,156.3,22.113,0.1999,10.0694,6658.1372,0.6069,3.1394,0.4492,11.4592,6765.7046,0.6567,2.8874
26.8662,36.8188,991.0201,156.3,22.1103,0.1999,10.1676,6604.7461,0.6383,3.2446,0.5689,9.9183,6768.8457,0.486,2.9635
26.8662,36.8188,1104.2131,156.3,22.109,0.196,10.0655,6597.6792,0.8189,3.2658,0.5061,11.2177,6779.8374,0.4883,2.9435
26.8662,36.8188,1019.2972,156.3,22.1104,0.194,10.3364,6521.126,0.7239,3.1618,0.4727,12.0755,6721.7358,0.5374,2.9282
26.8662,36.8188,1133.9192,156.3,22.1101,0.194,10.301,6450.0684,0.8126,3.2332,0.4551,10.9822,6763.3491,0.4914,2.8827
26.8662,36.8188,1429.5676,156.3,22.1117,0.196,10.1656,6523.874,0.4408,3.1704,0.5532,9.1998,6765.7046,0.4518,2.8595
26.8662,36.8188,1333.8098,156.3,22.1161,0.2058,10.2441,6489.3271,0.6281,3.1178,0.4924,10.672,6749.6089,0.4734,2.9816
25.2727,36.8188,1268.9635,156.3,22.1147,0.194,10.3364,6612.9907,0.4683,3.4217,0.4688,11.624,6723.6982,0.5421,3.0232
25.2727,36.8188,1233.2115,156.3,22.1121,0.2058,10.2088,6565.4873,0.7725,3.2007,0.461,12.1108,6660.1001,0.4687,2.9675
25.2727,36.8188,1224.1235,156.3,22.107,0.1999,10.3403,6500.7114,0.5185,3.2925,0.4727,11.8674,6655.3892,0.5696,3.0209
25.2727,36.8188,1096.255,156.3,22.1053,0.192,10.2657,6580.7988,0.608,3.2442,0.4924,11.5946,6657.3521,0.4235,3.0742
25.2727,36.8188,1175.8354,156.3,22.105,0.192,10.4365,6593.7539,0.7082,3.289,0.5827,9.2646,6667.9521,0.4439,2.9247
25.2727,36.8188,1176.8204,156.3,22.1008,0.1901,10.301,6626.3379,0.7757,3.1901,0.5571,9.8162,6697.7881,0.5389,3.1174
25.2727,36.8188,1277.4023,156.3,22.0981,0.2058,10.1734,6605.5308,0.661,3.3357,0.5297,10.5641,6697.0024,0.3796,3.068
25.2727,36.8188,1108.5411,118.2,22.1034,0.1979,10.2382,6607.1016,0.6917,3.3012,0.4963,11.0136,6687.5811,0.422,3.079
25.2727,37.1173,1233.684,118.2,22.1259,0.2077,10.621,6691.8994,0.7513,3.2238,0.4747,10.3933,6656.1738,0.4973,3.1053
25.2727,38.013,1143.6946,118.2,22.1497,0.1979,10.3069,6639.293,0.7529,3.3604,0.4865,10.0184,6720.165,0.4683,3.1747
25.2727,38.013,1132.3585,118.2,22.163,0.1979,10.409,6571.3765,1.1263,3.1449,0.4904,9.4707,6670.6997,0.4577,3.0864
25.2727,38.013,1201.4092,118.2,22.1676,0.1979,10.4051,6727.624,1.0073,3.3412,0.4845,9.6454,6659.7075,0.4455,3.1041
25.2727,38.013,1101.0056,118.2,22.1687,0.2038,10.4443,6650.6777,1.2601,3.1598,0.4825,9.7495,6663.2407,0.4565,3.1547
25.2727,38.013,378.6678,118.2,22.1657,0.196,10.5798,6713.8838,1.4026,3.3216,0.5159,9.5041,6707.9951,0.4059,3.1265
25.2727,38.013,995.9109,118.2,22.167,0.194,10.4718,6711.1357,1.2111,3.2544,0.4865,10.1558,6634.1895,0.4891,3.152
25.2727,38.013,1025.1616,118.2,22.2255,0.2018,10.4424,6773.9492,1.1608,3.3043,0.4688,10.568,6688.7588,0.4196,3.1504
25.2727,38.013,995.7822,118.2,22.2413,0.1999,10.5444,6648.7153,1.0179,3.1382,0.4825,10.9076,6654.604,0.4918,3.2925
25.2727,38.013,1081.7913,118.2,22.2238,0.2038,10.4443,6661.2778,1.2432,3.1477,0.461,11.3865,6594.9307,0.5099,3.2921
25.2727,38.013,1098.589,118.2,22.2118,0.194,10.6112,6742.5425,1.2307,3.3,0.5768,9.6788,6654.604,0.4294,3.333
25.2727,38.013,1293.3063,118.2,22.2126,0.196,10.7132,6604.354,1.6814,3.152,0.5434,9.0271,6639.293,0.3823,3.353
25.2727,38.013,1079.5073,118.2,22.2185,0.192,10.5385,6703.2842,1.5985,3.2862,0.4924,9.3726,6667.9521,0.4553,3.4017
25.2727,38.013,1114.8151,118.2,22.2177,0.194,10.407,6749.2163,1.8839,3.3357,0.514,9.3019,6634.1895,0.4671,3.3714
25.2727,38.013,1020.7273,118.2,22.2141,0.1979,10.6151,6681.6919,1.6445,3.1708,0.4825,9.8142,6631.0488,0.5315,3.3962
25.2727,38.013,1046.4429,118.2,22.2044,0.2077,10.4856,6649.5,2.0535,3.1512,0.5434,9.5375,6601.2124,0.3925,3.4613
25.2727,38.013,1092.201,118.2,22.197,0.1979,10.6818,6733.5127,1.8741,3.3282,0.5179,8.6208,6629.8711,0.3964,3.5261
25.2727,38.013,930.6089,118.2,22.191,0.1979,10.6465,6752.7495,1.9778,3.364,0.5807,8.8603,6613.7754,0.4726,3.6604
25.2727,38.013,1091.0757,118.2,22.1846,0.1979,10.6465,6764.1343,1.9146,3.2474,0.5473,7.7296,6597.2866,0.5126,3.5414
25.2727,38.013,1140.4518,118.2,22.1799,0.196,10.6112,6638.9009,2.0151,3.3396,0.5375,8.4422,6616.5234,0.5209,3.7416
25.2727,38.013,1139.9503,118.2,22.1847,0.194,10.4718,6559.9912,2.2596,3.311,0.514,8.9859,6627.9082,0.453,3.7036
25.2727,38.013,1082.397,118.2,22.1939,0.196,10.7132,6603.5684,2.3813,3.4068,0.5984,7.4843,6586.2939,0.5307,3.7946
23.6877,38.013,1093.5613,118.2,22.1964,0.1979,10.6445,6608.6724,2.3912,3.4044,0.5375,8.7857,6643.2188,0.4349,3.8378
23.6877,38.013,1052.8442,118.2,22.1907,0.194,10.7113,6709.5654,2.5894,3.4696,0.4649,9.3333,6633.4043,0.4812,3.808
23.6877,38.013,1024.4136,118.2,22.1806,0.192,10.8821,6742.1504,2.5317,3.4621,0.5925,7.9691,6634.5825,0.4059,3.9199
23.6877,38.013,999.2516,118.2,22.171,0.2077,10.9292,6642.041,2.2801,3.3856,0.5355,8.7523,6608.6724,0.7317,3.8488
